,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy,track
5,0.70914225203,0.678796700631,0.657430285916,0.676844334628,0.473404943704,FreddieHubbard_DownUnder_Solo_bass_input
10,0.69052828175,0.681229773463,0.370410885806,0.42644076841,0.316919523335,JohnColtrane_SoWhat_Solo_bass_input
11,0.517156862745,0.389669826741,0.424785539216,0.606158088235,0.346323301272,SonnyRollins_BlueSeven-1_Solo_bass_input
22,0.796961815817,0.304038004751,0.609942073531,0.705875398983,0.564189189189,ChetBaker_LetsGetLost_Solo_bass_input
24,0.62873106896,0.658604977217,0.584178797236,0.674753712689,0.42718044334,BenWebster_NightAndDay_Solo_bass_input
27,0.839497109296,0.698401667825,0.569331008534,0.693401853721,0.528291180285,BobBerg_IDidntKnowWhatTimeItWas_Solo_bass_input
31,0.804474354311,0.772280966767,0.591942524554,0.70371044016,0.473834652595,CannonballAdderley_HighFly_Solo_bass_input
35,0.672815107598,0.659246575342,0.332345191041,0.391194554238,0.278311779098,ColemanHawkins_StompinAtTheSavoy_Solo_bass_input
36,0.899345930233,0.622596153846,0.709484011628,0.76535247093,0.652007180157,ArtPepper_BluesForBlanche_Solo_bass_input
37,0.936437651764,0.923052053023,0.637908870161,0.748607341808,0.526469727991,CliffordBrown_JoySpring_Solo_bass_input
