,Track,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall,Voicing False Alarm
0,beethoven-s3-i-ex1,0.2654,0.4137,0.7248,0.7204,0.8396
0,beethoven-s3-i-ex2,0.5720,0.6496,0.6496,0.9436,0.9615
0,beethoven-s3-i-ex3,0.2761,0.4093,0.7099,0.8841,0.8698
0,beethoven-s3-i-ex5,0.4230,0.4523,0.5998,0.8999,0.4909
0,beethoven-s3-i-ex6,0.4538,0.5426,0.7168,0.8830,0.9211
0,beethoven-s5-i-ex1,0.7457,0.8519,0.8790,0.9414,0.7983
0,beethoven-s5-ii-ex1,0.6186,0.6464,0.8119,0.7796,0.1132
0,beethoven-s5-ii-ex2,0.5514,0.6281,0.9212,0.8692,0.4074
0,beethoven-s5-ii-ex3,0.6796,0.7681,0.8581,0.8397,0.8788
0,beethoven-s7-ii-ex2,0.0868,0.2481,0.9145,0.7760,0.4886
0,beethoven-s9-ii-ex1,0.7047,0.7471,0.7508,0.9706,0.9649
0,beethoven-s9-ii-ex2,0.4108,0.4922,0.6463,0.7828,0.8481
0,beethoven-s9-ii-ex3,0.3982,0.4029,0.5971,0.8988,0.7917
0,brahms-hungariandance-n5-ex1,0.5954,0.6395,0.7648,0.8831,0.8175
0,brahms-s3-iii-ex1,0.8192,0.8292,0.8320,0.9742,0.9302
0,brahms-s3-iii-ex2,0.7986,0.8127,0.8407,0.9547,0.8889
0,brahms-s3-iii-ex3,0.6774,0.7041,0.8845,0.8535,0.9744
0,dvorak-s9-iv-ex1,0.6460,0.7561,0.9224,0.9038,0.7262
0,dvorak-s9-iv-ex3,0.8066,0.8304,0.8304,0.9835,0.7632
0,dvorak-s9-iv-ex4,0.4786,0.5617,0.6562,0.8458,0.6575
0,dvorak-s9-iv-ex5,0.7571,0.7907,0.8140,0.9674,0.6550
0,grieg-peergynt-hallmountainking-ex1,0.1004,0.1580,0.4963,0.8475,0.8239
0,grieg-peergynt-morningmood-ex1,0.7431,0.7872,0.8401,0.9102,0.5764
0,grieg-peergynt-morningmood-ex2,0.5501,0.5813,0.7698,0.8987,0.9048
0,haydn-s94-andante-ex2,0.5199,0.7771,0.9274,0.8297,0.7593
0,haydn-s94-menuet-ex1,0.7672,0.8432,0.8698,0.9664,0.7866
0,haydn-s94-menuet-ex2,0.5409,0.7723,0.7723,0.8856,0.8529
0,holst-theplanets-jupiter-ex1,0.5898,0.6760,0.7692,0.9683,0.9407
0,holst-theplanets-jupiter-ex2,0.8328,0.8735,0.8787,0.9775,0.9655
0,holst-theplanets-jupiter-ex3,0.8973,0.9120,0.9120,0.9629,0.7083
0,holst-theplanets-jupiter-ex4,0.5985,0.6831,0.9153,0.8449,0.3125
0,musorgski-ravel-picturesexhibition-ex10,0.3444,0.4854,0.7012,0.7896,0.7572
0,musorgski-ravel-picturesexhibition-ex11,0.1891,0.2117,0.5135,0.8588,0.8276
0,musorgski-ravel-picturesexhibition-ex4,0.2425,0.3528,0.7710,0.8771,0.6571
0,musorgski-ravel-picturesexhibition-ex5,0.8105,0.8767,0.8767,0.9952,0.9603
0,musorgski-ravel-picturesexhibition-ex6,0.0151,0.0103,0.8938,0.8157,0.7373
0,musorgski-ravel-picturesexhibition-ex7,0.0877,0.2010,0.8792,0.8250,0.8571
0,musorgski-ravel-picturesexhibition-ex8,0.6624,0.7763,0.9151,0.7893,0.6364
0,musorgski-ravel-picturesexhibition-promenade1-ex1,0.6771,0.7327,0.7774,0.9026,0.4815
0,musorgski-ravel-picturesexhibition-promenade1-ex2,0.7016,0.7042,0.7612,0.9630,0.4815
0,profofiev-romeo-juliet-danceknights-ex1,0.7795,0.8727,0.8885,0.8659,0.7778
0,profofiev-romeo-juliet-danceknights-ex2,0.6013,0.7349,0.8043,0.8499,0.8188
0,ravel-bolero-ex1,0.7285,0.7892,0.9491,0.9223,0.6923
0,ravel-bolero-ex2,0.5834,0.7175,0.9228,0.8315,0.7357
0,ravel-bolero-ex3,0.8547,0.8767,0.8843,0.9642,0.6887
0,rimski-korsakov-scheherazade-kalender-ex1,0.5358,0.5435,0.5754,0.9562,0.9286
0,rimski-korsakov-scheherazade-kalender-ex2,0.4343,0.5124,0.5350,0.9094,0.7811
0,rimski-korsakov-scheherazade-kalender-ex3,0.5407,0.6079,0.6490,0.8588,0.7581
0,rimski-korsakov-scheherazade-sea-sinbadship-ex1,0.9069,0.9069,0.9159,0.9228,0.0943
0,rimski-korsakov-scheherazade-sea-sinbadship-ex2,0.7508,0.8098,0.8474,0.9464,0.7169
0,rimski-korsakov-scheherazade-sea-sinbadship-ex5,0.4482,0.7123,0.8802,0.7240,0.7500
0,rimski-korsakov-scheherazade-youngprinceprincess-ex1,0.8988,0.9104,0.9104,0.9857,0.7317
0,rimski-korsakov-scheherazade-youngprinceprincess-ex2,0.8690,0.8828,0.8828,0.9931,0.9211
0,rimski-korsakov-scheherazade-youngprinceprincess-ex3,0.8909,0.9015,0.9015,1.0000,1.0000
0,rimski-korsakov-scheherazade-youngprinceprincess-ex4,0.5616,0.5921,0.6409,0.9330,0.9710
0,schubert-s8-ii-ex2,0.7331,0.7331,0.9511,0.9450,0.2647
0,smetana-mavlast-vltava-ex1,0.8777,0.9195,0.9364,0.9686,0.9733
0,smetana-mavlast-vltava-ex4,0.7680,0.7845,0.8028,0.9599,0.8462
0,strauss-bluedanube-ex1,0.2761,0.4112,0.9297,0.6543,0.5969
0,strauss-bluedanube-ex2,0.4845,0.6899,0.8533,0.8033,0.6542
0,strauss-bluedanube-ex3,0.3763,0.3935,0.8633,0.8225,0.3140
0,tchaikovsky-swanlake-scene-ex1,0.7464,0.7513,0.8002,0.9242,0.8500
0,tchaikovsky-swanlake-scene-ex2,0.8996,0.9076,0.9199,0.9854,0.9583
0,wagner-tannhauser-act2-ex2,0.7601,0.9404,0.9415,0.8027,0.8000
